"INCP_2016","Income","AGE","Age","SEX_ABS","Sex","STATE","State","REGIONTYPE","Geography Level","ASGS_2016","Region","TIME","Year","Value","Flag Codes","Flags"
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",4,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",0,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",3,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",0,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",0,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",0,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",3,,
"01","Negative income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",20,,
"01","Negative income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",5,,
"02","Nil income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",585,,
"02","Nil income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",404,,
"03","$1-$149 ($1-$7,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",213,,
"03","$1-$149 ($1-$7,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",218,,
"04","$150-$299 ($7,800-$15,599)","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",105,,
"04","$150-$299 ($7,800-$15,599)","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",131,,
"05","$300-$399 ($15,600-$20,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",23,,
"05","$300-$399 ($15,600-$20,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",35,,
"06","$400-$499 ($20,800-$25,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",27,,
"06","$400-$499 ($20,800-$25,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",14,,
